,datachange_notifications,period,queuesize,change_int
0,12755900,10.0,1.0,10.0
1,12166200,10.0,1.0,10.0
2,13011800,10.0,1.0,10.0
3,12841800,10.0,1.0,10.0
4,13292100,10.0,1.0,10.0
5,12233800,10.0,1.0,10.0
6,12318100,10.0,1.0,10.0
7,12977100,10.0,1.0,10.0
8,13091500,10.0,1.0,10.0
9,12129200,10.0,1.0,10.0
10,12386600,10.0,1.0,10.0
11,13028900,10.0,1.0,10.0
12,12939900,10.0,1.0,10.0
13,13864000,10.0,1.0,10.0
14,12553000,10.0,1.0,10.0
15,11960100,10.0,1.0,10.0
16,12915600,10.0,1.0,10.0
17,13961900,10.0,1.0,10.0
18,12219900,10.0,1.0,10.0
19,13122900,10.0,1.0,10.0
20,11984300,10.0,1.0,10.0
21,13133200,10.0,1.0,10.0
22,12449000,10.0,1.0,10.0
23,12285100,10.0,1.0,10.0
24,11914500,10.0,1.0,10.0
25,13702500,10.0,1.0,10.0
26,12289100,10.0,1.0,10.0
27,12353800,10.0,1.0,10.0
28,12186600,10.0,1.0,10.0
29,12832700,10.0,1.0,10.0
30,12212500,10.0,1.0,10.0
31,13155200,10.0,1.0,10.0
32,13176400,10.0,1.0,10.0
33,12796600,10.0,1.0,10.0
34,13863900,10.0,1.0,10.0
35,11998900,10.0,1.0,10.0
36,13010400,10.0,1.0,10.0
37,12945200,10.0,1.0,10.0
38,13407100,10.0,1.0,10.0
39,12169100,10.0,1.0,10.0
40,12803600,10.0,1.0,10.0
41,12022900,10.0,1.0,10.0
42,13328500,10.0,1.0,10.0
43,12112300,10.0,1.0,10.0
44,12930500,10.0,1.0,10.0
45,12878100,10.0,1.0,10.0
46,12883900,10.0,1.0,10.0
47,15094500,10.0,1.0,10.0
48,11451600,10.0,1.0,10.0
49,11999700,10.0,1.0,10.0
50,14081700,10.0,1.0,10.0
51,14149100,10.0,1.0,10.0
52,12160200,10.0,1.0,10.0
53,14441500,10.0,1.0,10.0
54,13777100,10.0,1.0,10.0
55,12967100,10.0,1.0,10.0
56,13966400,10.0,1.0,10.0
57,14132900,10.0,1.0,10.0
58,12152700,10.0,1.0,10.0
59,13205500,10.0,1.0,10.0
60,12529600,10.0,1.0,10.0
61,13999400,10.0,1.0,10.0
62,12792000,10.0,1.0,10.0
63,12982800,10.0,1.0,10.0
64,12498100,10.0,1.0,10.0
65,12470900,10.0,1.0,10.0
66,12563000,10.0,1.0,10.0
67,13256900,10.0,1.0,10.0
68,12558900,10.0,1.0,10.0
69,12365300,10.0,1.0,10.0
70,12645300,10.0,1.0,10.0
71,12265100,10.0,1.0,10.0
72,12445900,10.0,1.0,10.0
73,12251000,10.0,1.0,10.0
74,14138500,10.0,1.0,10.0
75,11524700,10.0,1.0,10.0
76,12299900,10.0,1.0,10.0
77,12698100,10.0,1.0,10.0
78,13513700,10.0,1.0,10.0
79,11480500,10.0,1.0,10.0
80,12183200,10.0,1.0,10.0
81,13134200,10.0,1.0,10.0
82,13284200,10.0,1.0,10.0
83,11496000,10.0,1.0,10.0
