,datachange_notifications,period,queuesize,change_int
0,12649200,10.0,1.0,10.0
1,12765800,10.0,1.0,10.0
2,12183900,10.0,1.0,10.0
3,17039300,10.0,1.0,10.0
4,11615300,10.0,1.0,10.0
5,15159100,10.0,1.0,10.0
6,11370000,10.0,1.0,10.0
7,12214300,10.0,1.0,10.0
8,11333100,10.0,1.0,10.0
9,11229900,10.0,1.0,10.0
10,11500900,10.0,1.0,10.0
11,10448000,10.0,1.0,10.0
12,17561800,10.0,1.0,10.0
13,12809700,10.0,1.0,10.0
14,12341500,10.0,1.0,10.0
15,13016900,10.0,1.0,10.0
16,14003800,10.0,1.0,10.0
17,14043100,10.0,1.0,10.0
18,12593300,10.0,1.0,10.0
19,16894200,10.0,1.0,10.0
20,12393700,10.0,1.0,10.0
21,10362500,10.0,1.0,10.0
22,10600700,10.0,1.0,10.0
23,10086300,10.0,1.0,10.0
24,13813000,10.0,1.0,10.0
25,9910300,10.0,1.0,10.0
26,12123400,10.0,1.0,10.0
27,10020000,10.0,1.0,10.0
28,11558600,10.0,1.0,10.0
29,12161400,10.0,1.0,10.0
30,10566900,10.0,1.0,10.0
31,10836700,10.0,1.0,10.0
32,9200900,10.0,1.0,10.0
33,14685200,10.0,1.0,10.0
34,10304800,10.0,1.0,10.0
35,11903900,10.0,1.0,10.0
36,10236400,10.0,1.0,10.0
37,12685800,10.0,1.0,10.0
38,10601400,10.0,1.0,10.0
39,11812700,10.0,1.0,10.0
40,9640600,10.0,1.0,10.0
41,18851400,10.0,1.0,10.0
42,13088600,10.0,1.0,10.0
43,11446600,10.0,1.0,10.0
44,10277300,10.0,1.0,10.0
45,15021000,10.0,1.0,10.0
46,12480500,10.0,1.0,10.0
47,11037800,10.0,1.0,10.0
48,11975100,10.0,1.0,10.0
49,10767200,10.0,1.0,10.0
50,14589100,10.0,1.0,10.0
51,11409400,10.0,1.0,10.0
52,11962100,10.0,1.0,10.0
53,11556800,10.0,1.0,10.0
54,11819600,10.0,1.0,10.0
55,10407700,10.0,1.0,10.0
56,11223100,10.0,1.0,10.0
57,11488800,10.0,1.0,10.0
58,11212400,10.0,1.0,10.0
59,11413200,10.0,1.0,10.0
60,12066600,10.0,1.0,10.0
61,10378300,10.0,1.0,10.0
62,10440400,10.0,1.0,10.0
63,16831000,10.0,1.0,10.0
64,11357800,10.0,1.0,10.0
65,12646700,10.0,1.0,10.0
66,10635600,10.0,1.0,10.0
67,12009700,10.0,1.0,10.0
68,13036000,10.0,1.0,10.0
69,12855800,10.0,1.0,10.0
70,11018200,10.0,1.0,10.0
71,17703300,10.0,1.0,10.0
72,10798600,10.0,1.0,10.0
73,11719700,10.0,1.0,10.0
74,15055700,10.0,1.0,10.0
75,14126500,10.0,1.0,10.0
76,12993500,10.0,1.0,10.0
77,11197400,10.0,1.0,10.0
78,10555700,10.0,1.0,10.0
79,11695000,10.0,1.0,10.0
80,10878600,10.0,1.0,10.0
81,10528200,10.0,1.0,10.0
82,12645100,10.0,1.0,10.0
83,11330100,10.0,1.0,10.0
84,11006700,10.0,1.0,10.0
85,11611300,10.0,1.0,10.0
86,16207000,10.0,1.0,10.0
87,14818900,10.0,1.0,10.0
88,10403400,10.0,1.0,10.0
89,10325700,10.0,1.0,10.0
90,12945900,10.0,1.0,10.0
91,12628600,10.0,1.0,10.0
92,13220000,10.0,1.0,10.0
93,11256000,10.0,1.0,10.0
94,11810200,10.0,1.0,10.0
95,11638700,10.0,1.0,10.0
96,15936100,10.0,1.0,10.0
97,9368400,10.0,1.0,10.0
98,11745800,10.0,1.0,10.0
99,10520900,10.0,1.0,10.0
100,9924600,10.0,1.0,10.0
101,11850200,10.0,1.0,10.0
102,22673000,10.0,1.0,10.0
103,10619300,10.0,1.0,10.0
104,16097100,10.0,1.0,10.0
105,11464900,10.0,1.0,10.0
106,10328700,10.0,1.0,10.0
107,13759400,10.0,1.0,10.0
108,11837900,10.0,1.0,10.0
109,12231100,10.0,1.0,10.0
110,12401400,10.0,1.0,10.0
111,16466400,10.0,1.0,10.0
112,16741300,10.0,1.0,10.0
113,13281000,10.0,1.0,10.0
114,11821500,10.0,1.0,10.0
115,10171200,10.0,1.0,10.0
116,15249000,10.0,1.0,10.0
117,11307300,10.0,1.0,10.0
118,10634300,10.0,1.0,10.0
119,11272900,10.0,1.0,10.0
120,16022600,10.0,1.0,10.0
121,10091800,10.0,1.0,10.0
122,10737600,10.0,1.0,10.0
123,13996900,10.0,1.0,10.0
124,11350400,10.0,1.0,10.0
125,12169200,10.0,1.0,10.0
126,10588200,10.0,1.0,10.0
127,11450100,10.0,1.0,10.0
128,10448900,10.0,1.0,10.0
129,12548900,10.0,1.0,10.0
130,12393300,10.0,1.0,10.0
131,9580800,10.0,1.0,10.0
132,12224100,10.0,1.0,10.0
133,12269900,10.0,1.0,10.0
134,13884300,10.0,1.0,10.0
135,13898600,10.0,1.0,10.0
136,12105100,10.0,1.0,10.0
137,16121200,10.0,1.0,10.0
138,12974000,10.0,1.0,10.0
139,13765500,10.0,1.0,10.0
140,18808600,10.0,1.0,10.0
141,13652400,10.0,1.0,10.0
142,9882300,10.0,1.0,10.0
143,10092700,10.0,1.0,10.0
144,11540200,10.0,1.0,10.0
145,15014300,10.0,1.0,10.0
146,11331400,10.0,1.0,10.0
147,11539300,10.0,1.0,10.0
148,11979000,10.0,1.0,10.0
149,14814700,10.0,1.0,10.0
150,14164600,10.0,1.0,10.0
151,10051400,10.0,1.0,10.0
152,11081900,10.0,1.0,10.0
153,12238600,10.0,1.0,10.0
154,9919700,10.0,1.0,10.0
155,13996900,10.0,1.0,10.0
156,11234300,10.0,1.0,10.0
157,11173300,10.0,1.0,10.0
158,11865000,10.0,1.0,10.0
159,13281700,10.0,1.0,10.0
160,10722100,10.0,1.0,10.0
161,10226800,10.0,1.0,10.0
162,18274200,10.0,1.0,10.0
163,12728100,10.0,1.0,10.0
164,11817400,10.0,1.0,10.0
165,11298700,10.0,1.0,10.0
166,14394600,10.0,1.0,10.0
167,12505800,10.0,1.0,10.0
168,9905300,10.0,1.0,10.0
169,15629000,10.0,1.0,10.0
170,12376200,10.0,1.0,10.0
171,11802200,10.0,1.0,10.0
172,10083600,10.0,1.0,10.0
173,9859600,10.0,1.0,10.0
174,11782500,10.0,1.0,10.0
175,10202900,10.0,1.0,10.0
176,10187900,10.0,1.0,10.0
177,10091900,10.0,1.0,10.0
178,10246100,10.0,1.0,10.0
179,13750400,10.0,1.0,10.0
180,13510400,10.0,1.0,10.0
181,9957000,10.0,1.0,10.0
182,11353500,10.0,1.0,10.0
183,11906400,10.0,1.0,10.0
184,10958400,10.0,1.0,10.0
185,9883500,10.0,1.0,10.0
186,11125700,10.0,1.0,10.0
187,15112600,10.0,1.0,10.0
188,9879400,10.0,1.0,10.0
189,10560600,10.0,1.0,10.0
190,10817900,10.0,1.0,10.0
191,10046800,10.0,1.0,10.0
192,11383700,10.0,1.0,10.0
193,13603200,10.0,1.0,10.0
194,14077800,10.0,1.0,10.0
195,9794200,10.0,1.0,10.0
196,13734800,10.0,1.0,10.0
197,9827300,10.0,1.0,10.0
198,10659700,10.0,1.0,10.0
199,12663100,10.0,1.0,10.0
200,11415100,10.0,1.0,10.0
201,12310100,10.0,1.0,10.0
202,10371800,10.0,1.0,10.0
203,12715900,10.0,1.0,10.0
204,11210900,10.0,1.0,10.0
205,17474500,10.0,1.0,10.0
206,10813000,10.0,1.0,10.0
207,14276000,10.0,1.0,10.0
208,10645800,10.0,1.0,10.0
209,10244200,10.0,1.0,10.0
210,11564700,10.0,1.0,10.0
211,11382500,10.0,1.0,10.0
212,10474300,10.0,1.0,10.0
213,15838900,10.0,1.0,10.0
214,11710100,10.0,1.0,10.0
215,10397700,10.0,1.0,10.0
216,12785000,10.0,1.0,10.0
217,12252400,10.0,1.0,10.0
218,14980100,10.0,1.0,10.0
219,14409400,10.0,1.0,10.0
